"UNIPROT","SYMBOL","logFC","adj.P.Val","pathway_id","pathway_name","is_AGRN","direction","significant"
"P31431","SDC4",3.50413506464376,0.0042667087774112,"R-HSA-9694614","Homo sapiens: Attachment and Entry",FALSE,"up",TRUE
"O00468","AGRN",2.97574090601907,0.000154600782520307,"R-HSA-9694614","Homo sapiens: Attachment and Entry",TRUE,"up",TRUE
"P98160","HSPG2",2.11658801495104,0.000293919518724457,"R-HSA-9694614","Homo sapiens: Attachment and Entry",FALSE,"up",TRUE
"P18827","SDC1",-2.09656178108388,0.35738145382966,"R-HSA-9694614","Homo sapiens: Attachment and Entry",FALSE,"down",FALSE
"P17301","ITGA2",3.94950109445937,4.56355346937978e-05,"R-HSA-422475","Homo sapiens: Axon guidance",FALSE,"up",TRUE
"P05556","ITGB1",3.05007125354915,6.47675261860327e-05,"R-HSA-422475","Homo sapiens: Axon guidance",FALSE,"up",TRUE
"O00468","AGRN",2.97574090601907,0.000154600782520307,"R-HSA-422475","Homo sapiens: Axon guidance",TRUE,"up",TRUE
"P06756","ITGAV",2.30490813666285,0.000216355170911548,"R-HSA-422475","Homo sapiens: Axon guidance",FALSE,"up",TRUE
"P11047","LAMC1",2.1503320550259,0.000154937358266977,"R-HSA-422475","Homo sapiens: Axon guidance",FALSE,"up",TRUE
"Q71U36","TUBA1A",2.03928735792322,0.00863742369297787,"R-HSA-422475","Homo sapiens: Axon guidance",FALSE,"up",TRUE
"P01111","NRAS",1.48801438346512,0.372305707489942,"R-HSA-422475","Homo sapiens: Axon guidance",FALSE,"up",FALSE
"O15144","ARPC2",-1.35812689941895,0.00126175095051445,"R-HSA-422475","Homo sapiens: Axon guidance",FALSE,"down",TRUE
"P08134","RHOC",1.27506274532785,0.00334945325671794,"R-HSA-422475","Homo sapiens: Axon guidance",FALSE,"up",TRUE
"P68363","TUBA1B",1.19069343476805,0.00264938841860455,"R-HSA-422475","Homo sapiens: Axon guidance",FALSE,"up",TRUE
"P23528","CFL1",1.08753009426028,0.00368134428070063,"R-HSA-422475","Homo sapiens: Axon guidance",FALSE,"up",TRUE
"P07737","PFN1",1.07587436041013,0.0312193034731491,"R-HSA-422475","Homo sapiens: Axon guidance",FALSE,"up",TRUE
"P61586","RHOA",0.893185020661484,0.0209950607597007,"R-HSA-422475","Homo sapiens: Axon guidance",FALSE,"up",TRUE
"P60709","ACTB",0.553264694573404,0.0491781695084405,"R-HSA-422475","Homo sapiens: Axon guidance",FALSE,"up",TRUE
"O15511","ARPC5",-0.549641408268869,0.315129074224031,"R-HSA-422475","Homo sapiens: Axon guidance",FALSE,"down",FALSE
"P11940","PABPC1",0.517935421774801,0.174880670574225,"R-HSA-422475","Homo sapiens: Axon guidance",FALSE,"up",FALSE
"Q13813","SPTAN1",0.483220684943696,0.170824112614418,"R-HSA-422475","Homo sapiens: Axon guidance",FALSE,"up",FALSE
"P35579","MYH9",0.437691410362646,0.0911323355978355,"R-HSA-422475","Homo sapiens: Axon guidance",FALSE,"up",FALSE
"P62993","GRB2",0.34384955984094,0.349628977781601,"R-HSA-422475","Homo sapiens: Axon guidance",FALSE,"up",FALSE
"P28482","MAPK1",0.131577872102902,0.654468952507214,"R-HSA-422475","Homo sapiens: Axon guidance",FALSE,"up",FALSE
"P31431","SDC4",3.50413506464376,0.0042667087774112,"R-HSA-4420332","Homo sapiens: Defective B3GALT6 causes EDSP2 and SEMDJL1",FALSE,"up",TRUE
"O00468","AGRN",2.97574090601907,0.000154600782520307,"R-HSA-4420332","Homo sapiens: Defective B3GALT6 causes EDSP2 and SEMDJL1",TRUE,"up",TRUE
"P98160","HSPG2",2.11658801495104,0.000293919518724457,"R-HSA-4420332","Homo sapiens: Defective B3GALT6 causes EDSP2 and SEMDJL1",FALSE,"up",TRUE
"P18827","SDC1",-2.09656178108388,0.35738145382966,"R-HSA-4420332","Homo sapiens: Defective B3GALT6 causes EDSP2 and SEMDJL1",FALSE,"down",FALSE
"P31431","SDC4",3.50413506464376,0.0042667087774112,"R-HSA-3560801","Homo sapiens: Defective B3GAT3 causes JDSSDHD",FALSE,"up",TRUE
"O00468","AGRN",2.97574090601907,0.000154600782520307,"R-HSA-3560801","Homo sapiens: Defective B3GAT3 causes JDSSDHD",TRUE,"up",TRUE
"P98160","HSPG2",2.11658801495104,0.000293919518724457,"R-HSA-3560801","Homo sapiens: Defective B3GAT3 causes JDSSDHD",FALSE,"up",TRUE
"P18827","SDC1",-2.09656178108388,0.35738145382966,"R-HSA-3560801","Homo sapiens: Defective B3GAT3 causes JDSSDHD",FALSE,"down",FALSE
"P31431","SDC4",3.50413506464376,0.0042667087774112,"R-HSA-3560783","Homo sapiens: Defective B4GALT7 causes EDS, progeroid type",FALSE,"up",TRUE
"O00468","AGRN",2.97574090601907,0.000154600782520307,"R-HSA-3560783","Homo sapiens: Defective B4GALT7 causes EDS, progeroid type",TRUE,"up",TRUE
"P98160","HSPG2",2.11658801495104,0.000293919518724457,"R-HSA-3560783","Homo sapiens: Defective B4GALT7 causes EDS, progeroid type",FALSE,"up",TRUE
"P18827","SDC1",-2.09656178108388,0.35738145382966,"R-HSA-3560783","Homo sapiens: Defective B4GALT7 causes EDS, progeroid type",FALSE,"down",FALSE
"P31431","SDC4",3.50413506464376,0.0042667087774112,"R-HSA-3656253","Homo sapiens: Defective EXT1 causes exostoses 1, TRPS2 and CHDS",FALSE,"up",TRUE
"O00468","AGRN",2.97574090601907,0.000154600782520307,"R-HSA-3656253","Homo sapiens: Defective EXT1 causes exostoses 1, TRPS2 and CHDS",TRUE,"up",TRUE
"P98160","HSPG2",2.11658801495104,0.000293919518724457,"R-HSA-3656253","Homo sapiens: Defective EXT1 causes exostoses 1, TRPS2 and CHDS",FALSE,"up",TRUE
"P18827","SDC1",-2.09656178108388,0.35738145382966,"R-HSA-3656253","Homo sapiens: Defective EXT1 causes exostoses 1, TRPS2 and CHDS",FALSE,"down",FALSE
"P31431","SDC4",3.50413506464376,0.0042667087774112,"R-HSA-3656237","Homo sapiens: Defective EXT2 causes exostoses 2",FALSE,"up",TRUE
"O00468","AGRN",2.97574090601907,0.000154600782520307,"R-HSA-3656237","Homo sapiens: Defective EXT2 causes exostoses 2",TRUE,"up",TRUE
"P98160","HSPG2",2.11658801495104,0.000293919518724457,"R-HSA-3656237","Homo sapiens: Defective EXT2 causes exostoses 2",FALSE,"up",TRUE
"P18827","SDC1",-2.09656178108388,0.35738145382966,"R-HSA-3656237","Homo sapiens: Defective EXT2 causes exostoses 2",FALSE,"down",FALSE
"P31431","SDC4",3.50413506464376,0.0042667087774112,"R-HSA-9918485","Homo sapiens: Dengue Virus Attachment and Entry",FALSE,"up",TRUE
"O00468","AGRN",2.97574090601907,0.000154600782520307,"R-HSA-9918485","Homo sapiens: Dengue Virus Attachment and Entry",TRUE,"up",TRUE
"P98160","HSPG2",2.11658801495104,0.000293919518724457,"R-HSA-9918485","Homo sapiens: Dengue Virus Attachment and Entry",FALSE,"up",TRUE
"P18827","SDC1",-2.09656178108388,0.35738145382966,"R-HSA-9918485","Homo sapiens: Dengue Virus Attachment and Entry",FALSE,"down",FALSE
"P62805","H4C9",4.15574860143037,0.000160682799214974,"R-HSA-9839923","Homo sapiens: Dengue Virus Infection",FALSE,"up",TRUE
"P31431","SDC4",3.50413506464376,0.0042667087774112,"R-HSA-9839923","Homo sapiens: Dengue Virus Infection",FALSE,"up",TRUE
"P68431","H3C1",3.43232626918039,0.0715891138917385,"R-HSA-9839923","Homo sapiens: Dengue Virus Infection",FALSE,"up",FALSE
"O00468","AGRN",2.97574090601907,0.000154600782520307,"R-HSA-9839923","Homo sapiens: Dengue Virus Infection",TRUE,"up",TRUE
"Q14103","HNRNPD",-2.66041495386855,0.0710203433165112,"R-HSA-9839923","Homo sapiens: Dengue Virus Infection",FALSE,"down",FALSE
"P98160","HSPG2",2.11658801495104,0.000293919518724457,"R-HSA-9839923","Homo sapiens: Dengue Virus Infection",FALSE,"up",TRUE
"P18827","SDC1",-2.09656178108388,0.35738145382966,"R-HSA-9839923","Homo sapiens: Dengue Virus Infection",FALSE,"down",FALSE
"P52292","KPNA2",1.49840356038263,0.0283347449377956,"R-HSA-9839923","Homo sapiens: Dengue Virus Infection",FALSE,"up",TRUE
"P26599","PTBP1",-0.766290933983903,0.0946828648384656,"R-HSA-9839923","Homo sapiens: Dengue Virus Infection",FALSE,"down",FALSE
"P11940","PABPC1",0.517935421774801,0.174880670574225,"R-HSA-9839923","Homo sapiens: Dengue Virus Infection",FALSE,"up",FALSE
"Q15366","PCBP2",0.491318411631759,0.687436296610755,"R-HSA-9839923","Homo sapiens: Dengue Virus Infection",FALSE,"up",FALSE
"O00571","DDX3X",0.415603403972018,0.548724292840006,"R-HSA-9839923","Homo sapiens: Dengue Virus Infection",FALSE,"up",FALSE
"P26368","U2AF2",-0.326217418369012,0.618335529585652,"R-HSA-9839923","Homo sapiens: Dengue Virus Infection",FALSE,"down",FALSE
"Q14240","EIF4A2",0.288161805463993,0.645345560609303,"R-HSA-9839923","Homo sapiens: Dengue Virus Infection",FALSE,"up",FALSE
"P62805","H4C9",4.15574860143037,0.000160682799214974,"R-HSA-9918481","Homo sapiens: Dengue Virus-Host Interactions",FALSE,"up",TRUE
"P31431","SDC4",3.50413506464376,0.0042667087774112,"R-HSA-9918481","Homo sapiens: Dengue Virus-Host Interactions",FALSE,"up",TRUE
"P68431","H3C1",3.43232626918039,0.0715891138917385,"R-HSA-9918481","Homo sapiens: Dengue Virus-Host Interactions",FALSE,"up",FALSE
"O00468","AGRN",2.97574090601907,0.000154600782520307,"R-HSA-9918481","Homo sapiens: Dengue Virus-Host Interactions",TRUE,"up",TRUE
"Q14103","HNRNPD",-2.66041495386855,0.0710203433165112,"R-HSA-9918481","Homo sapiens: Dengue Virus-Host Interactions",FALSE,"down",FALSE
"P98160","HSPG2",2.11658801495104,0.000293919518724457,"R-HSA-9918481","Homo sapiens: Dengue Virus-Host Interactions",FALSE,"up",TRUE
"P18827","SDC1",-2.09656178108388,0.35738145382966,"R-HSA-9918481","Homo sapiens: Dengue Virus-Host Interactions",FALSE,"down",FALSE
"P26599","PTBP1",-0.766290933983903,0.0946828648384656,"R-HSA-9918481","Homo sapiens: Dengue Virus-Host Interactions",FALSE,"down",FALSE
"Q15366","PCBP2",0.491318411631759,0.687436296610755,"R-HSA-9918481","Homo sapiens: Dengue Virus-Host Interactions",FALSE,"up",FALSE
"O00571","DDX3X",0.415603403972018,0.548724292840006,"R-HSA-9918481","Homo sapiens: Dengue Virus-Host Interactions",FALSE,"up",FALSE
"P26368","U2AF2",-0.326217418369012,0.618335529585652,"R-HSA-9918481","Homo sapiens: Dengue Virus-Host Interactions",FALSE,"down",FALSE
"P02751","FN1",5.71190413653133,3.23875287666273e-05,"R-HSA-1266738","Homo sapiens: Developmental Biology",FALSE,"up",TRUE
"Q71UI9","H2AZ2",4.43361611115072,0.000160682799214974,"R-HSA-1266738","Homo sapiens: Developmental Biology",FALSE,"up",TRUE
"P62805","H4C9",4.15574860143037,0.000160682799214974,"R-HSA-1266738","Homo sapiens: Developmental Biology",FALSE,"up",TRUE
"P17301","ITGA2",3.94950109445937,4.56355346937978e-05,"R-HSA-1266738","Homo sapiens: Developmental Biology",FALSE,"up",TRUE
"P16104","H2AX",3.90977239816424,4.90185350892489e-05,"R-HSA-1266738","Homo sapiens: Developmental Biology",FALSE,"up",TRUE
"P68431","H3C1",3.43232626918039,0.0715891138917385,"R-HSA-1266738","Homo sapiens: Developmental Biology",FALSE,"up",FALSE
"P05556","ITGB1",3.05007125354915,6.47675261860327e-05,"R-HSA-1266738","Homo sapiens: Developmental Biology",FALSE,"up",TRUE
"O00468","AGRN",2.97574090601907,0.000154600782520307,"R-HSA-1266738","Homo sapiens: Developmental Biology",TRUE,"up",TRUE
"P55268","LAMB2",2.97025364331254,0.00696998449304999,"R-HSA-1266738","Homo sapiens: Developmental Biology",FALSE,"up",TRUE
"Q08431","MFGE8",2.35691253763335,0.000362962488891334,"R-HSA-1266738","Homo sapiens: Developmental Biology",FALSE,"up",TRUE
"P06756","ITGAV",2.30490813666285,0.000216355170911548,"R-HSA-1266738","Homo sapiens: Developmental Biology",FALSE,"up",TRUE
"P14923","JUP",-2.21089909884426,0.0014388081177562,"R-HSA-1266738","Homo sapiens: Developmental Biology",FALSE,"down",TRUE
"P11047","LAMC1",2.1503320550259,0.000154937358266977,"R-HSA-1266738","Homo sapiens: Developmental Biology",FALSE,"up",TRUE
"Q71U36","TUBA1A",2.03928735792322,0.00863742369297787,"R-HSA-1266738","Homo sapiens: Developmental Biology",FALSE,"up",TRUE
"P16144","ITGB4",1.98351511288602,0.000273634882900169,"R-HSA-1266738","Homo sapiens: Developmental Biology",FALSE,"up",TRUE
"P16070","CD44",1.70946175156405,0.000708128751407232,"R-HSA-1266738","Homo sapiens: Developmental Biology",FALSE,"up",TRUE
"P23229","ITGA6",1.56154925940134,0.000422556994861413,"R-HSA-1266738","Homo sapiens: Developmental Biology",FALSE,"up",TRUE
"P01111","NRAS",1.48801438346512,0.372305707489942,"R-HSA-1266738","Homo sapiens: Developmental Biology",FALSE,"up",FALSE
"O15144","ARPC2",-1.35812689941895,0.00126175095051445,"R-HSA-1266738","Homo sapiens: Developmental Biology",FALSE,"down",TRUE
"P08134","RHOC",1.27506274532785,0.00334945325671794,"R-HSA-1266738","Homo sapiens: Developmental Biology",FALSE,"up",TRUE
"P68363","TUBA1B",1.19069343476805,0.00264938841860455,"R-HSA-1266738","Homo sapiens: Developmental Biology",FALSE,"up",TRUE
"P23528","CFL1",1.08753009426028,0.00368134428070063,"R-HSA-1266738","Homo sapiens: Developmental Biology",FALSE,"up",TRUE
"P07737","PFN1",1.07587436041013,0.0312193034731491,"R-HSA-1266738","Homo sapiens: Developmental Biology",FALSE,"up",TRUE
"P61586","RHOA",0.893185020661484,0.0209950607597007,"R-HSA-1266738","Homo sapiens: Developmental Biology",FALSE,"up",TRUE
"P84243","H3-3A",0.642805543313333,0.798321144016878,"R-HSA-1266738","Homo sapiens: Developmental Biology",FALSE,"up",FALSE
"P23588","EIF4B",0.574526441233903,0.466113663598838,"R-HSA-1266738","Homo sapiens: Developmental Biology",FALSE,"up",FALSE
"P60709","ACTB",0.553264694573404,0.0491781695084405,"R-HSA-1266738","Homo sapiens: Developmental Biology",FALSE,"up",TRUE
"O15511","ARPC5",-0.549641408268869,0.315129074224031,"R-HSA-1266738","Homo sapiens: Developmental Biology",FALSE,"down",FALSE
"P11940","PABPC1",0.517935421774801,0.174880670574225,"R-HSA-1266738","Homo sapiens: Developmental Biology",FALSE,"up",FALSE
"Q13813","SPTAN1",0.483220684943696,0.170824112614418,"R-HSA-1266738","Homo sapiens: Developmental Biology",FALSE,"up",FALSE
"P35579","MYH9",0.437691410362646,0.0911323355978355,"R-HSA-1266738","Homo sapiens: Developmental Biology",FALSE,"up",FALSE
"P62993","GRB2",0.34384955984094,0.349628977781601,"R-HSA-1266738","Homo sapiens: Developmental Biology",FALSE,"up",FALSE
"Q14240","EIF4A2",0.288161805463993,0.645345560609303,"R-HSA-1266738","Homo sapiens: Developmental Biology",FALSE,"up",FALSE
"P16671","CD36",-0.261180305008047,0.613529932435999,"R-HSA-1266738","Homo sapiens: Developmental Biology",FALSE,"down",FALSE
"P28482","MAPK1",0.131577872102902,0.654468952507214,"R-HSA-1266738","Homo sapiens: Developmental Biology",FALSE,"up",FALSE
"O60610","DIAPH1",-0.0515909629482678,0.913943393471097,"R-HSA-1266738","Homo sapiens: Developmental Biology",FALSE,"down",FALSE
"P02751","FN1",5.71190413653133,3.23875287666273e-05,"R-HSA-1643685","Homo sapiens: Disease",FALSE,"up",TRUE
