#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACTB	ITGB4	9606.ENSP00000494750	9606.ENSP00000200181	0	0	0	0	0.042	0.070	0.900	0.376	0.936
ACTB	MAPK1	9606.ENSP00000494750	9606.ENSP00000215832	0	0.002	0	0	0.097	0.087	0	0.740	0.767
ACTB	MYH9	9606.ENSP00000494750	9606.ENSP00000216181	0	0	0	0	0.420	0.680	0.900	0.602	0.991
ACTB	PFN1	9606.ENSP00000494750	9606.ENSP00000225655	0	0	0	0	0.485	0.972	0.900	0.992	0.999
ACTB	H4C6	9606.ENSP00000494750	9606.ENSP00000244537	0	0	0	0	0.054	0.867	0.400	0.690	0.973
ACTB	H3-3B	9606.ENSP00000494750	9606.ENSP00000254810	0	0.001	0	0	0.103	0.819	0	0.784	0.962
ACTB	ITGAV	9606.ENSP00000494750	9606.ENSP00000261023	0	0	0	0	0.053	0	0.650	0.442	0.799
ACTB	RHOC	9606.ENSP00000494750	9606.ENSP00000285735	0	0	0	0	0.336	0.070	0.500	0.389	0.786
ACTB	ARPC5	9606.ENSP00000494750	9606.ENSP00000294742	0	0	0	0	0.202	0.281	0.900	0.272	0.952
ACTB	ARPC2	9606.ENSP00000494750	9606.ENSP00000295685	0	0	0	0	0.259	0.365	0.900	0.305	0.962
ACTB	ITGA2	9606.ENSP00000494750	9606.ENSP00000296585	0	0	0	0	0.056	0	0.650	0.611	0.860
ACTB	HNRNPD	9606.ENSP00000494750	9606.ENSP00000313199	0	0	0	0	0.118	0.396	0	0.560	0.745
ACTB	ITGA3	9606.ENSP00000494750	9606.ENSP00000315190	0	0	0	0	0.046	0	0.650	0.331	0.757
ACTB	RUVBL1	9606.ENSP00000494750	9606.ENSP00000318297	0	0	0	0	0.057	0.800	0.900	0.714	0.993
ACTB	TUBA1B	9606.ENSP00000494750	9606.ENSP00000336799	0	0	0.201	0	0.270	0.136	0	0.618	0.782
ACTB	FN1	9606.ENSP00000494750	9606.ENSP00000346839	0	0	0	0	0.043	0.045	0	0.886	0.886
ACTB	H4C11	9606.ENSP00000494750	9606.ENSP00000347168	0	0	0	0	0.054	0.820	0	0.452	0.899
ACTB	DYNC1H1	9606.ENSP00000494750	9606.ENSP00000348965	0	0	0	0	0.065	0.920	0	0.240	0.938
ACTB	H3C12	9606.ENSP00000494750	9606.ENSP00000352252	0	0.001	0	0	0.079	0.819	0	0.783	0.960
ACTB	H3-3A	9606.ENSP00000494750	9606.ENSP00000355780	0	0.001	0	0	0.095	0.819	0	0.288	0.873
ACTB	H3C10	9606.ENSP00000494750	9606.ENSP00000358160	0	0.001	0	0	0.079	0.819	0	0.483	0.906
ACTB	H4C2	9606.ENSP00000494750	9606.ENSP00000366974	0	0	0	0	0.054	0.820	0	0.462	0.900
ACTB	H3C4	9606.ENSP00000494750	9606.ENSP00000366999	0	0.001	0	0	0.079	0.819	0	0.492	0.908
ACTB	H4C3	9606.ENSP00000494750	9606.ENSP00000367034	0	0	0	0	0.061	0.820	0	0.457	0.900
ACTB	DIAPH1	9606.ENSP00000494750	9606.ENSP00000373706	0	0	0	0	0.096	0.140	0.900	0.252	0.934
ACTB	GRB2	9606.ENSP00000494750	9606.ENSP00000376345	0	0	0	0	0.082	0.363	0.500	0.440	0.814
ACTB	ITGB1	9606.ENSP00000494750	9606.ENSP00000379350	0	0	0	0	0.084	0.077	0.900	0.835	0.984
ACTB	ITGA6	9606.ENSP00000494750	9606.ENSP00000386896	0	0	0	0	0.046	0	0.650	0.457	0.803
ACTB	CD44	9606.ENSP00000494750	9606.ENSP00000398632	0	0	0	0	0.083	0	0	0.715	0.728
ACTB	RHOA	9606.ENSP00000494750	9606.ENSP00000400175	0	0	0	0	0.426	0.070	0.900	0.646	0.978
ACTB	CFL1	9606.ENSP00000494750	9606.ENSP00000432660	0	0	0	0	0.403	0.987	0.900	0.834	0.999
ACTB	H2AX	9606.ENSP00000494750	9606.ENSP00000434024	0	0	0	0	0.073	0.389	0	0.598	0.753
ACTB	TUBA1A	9606.ENSP00000494750	9606.ENSP00000439020	0	0	0.200	0	0.218	0.303	0.400	0.476	0.838
ACTB	H4C15	9606.ENSP00000494750	9606.ENSP00000462355	0	0	0	0	0.054	0.820	0	0.452	0.899
ACTB	H4C14	9606.ENSP00000494750	9606.ENSP00000462667	0	0	0	0	0.054	0.820	0	0.463	0.901
ACTB	RUVBL2	9606.ENSP00000494750	9606.ENSP00000473172	0	0	0	0	0.080	0.836	0.900	0.710	0.995
