"","Normal_count","Tumor_count","Pattern"
"O14817",0,3,"Tumor_only_3v0"
"O15372",3,0,"Normal_only_3v0"
"O43491",0,3,"Tumor_only_3v0"
"O43653",3,0,"Normal_only_3v0"
"O60437",3,0,"Normal_only_3v0"
"O60488;O95573",0,3,"Tumor_only_3v0"
"O75348;O95670",3,0,"Normal_only_3v0"
"O75368",3,0,"Normal_only_3v0"
"O94832;B0I1T2",3,0,"Normal_only_3v0"
"O95274",3,0,"Normal_only_3v0"
"O95466",0,3,"Tumor_only_3v0"
"O95832",3,0,"Normal_only_3v0"
"P00750",0,3,"Tumor_only_3v0"
"P00918",3,0,"Normal_only_3v0"
"P00966",3,0,"Normal_only_3v0"
"P01033",0,3,"Tumor_only_3v0"
"P01903;P01906",0,3,"Tumor_only_3v0"
"P03956",0,3,"Tumor_only_3v0"
"P04179",3,0,"Normal_only_3v0"
"P05106",0,3,"Tumor_only_3v0"
"P05109",3,0,"Normal_only_3v0"
"P05114",3,0,"Normal_only_3v0"
"P05120",3,0,"Normal_only_3v0"
"P05121",0,3,"Tumor_only_3v0"
"P06702",3,0,"Normal_only_3v0"
"P06748",0,3,"Tumor_only_3v0"
"P07203",3,0,"Normal_only_3v0"
"P08473",3,0,"Normal_only_3v0"
"P09496",0,3,"Tumor_only_3v0"
"P10909",3,0,"Normal_only_3v0"
"P11166",0,3,"Tumor_only_3v0"
"P11279",0,3,"Tumor_only_3v0"
"P13688",3,0,"Normal_only_3v0"
"P15151",0,3,"Tumor_only_3v0"
"P15531",0,3,"Tumor_only_3v0"
"P15924",3,0,"Normal_only_3v0"
"P16403;P16402;P22492;Q02539",0,3,"Tumor_only_3v0"
"P16949",0,3,"Tumor_only_3v0"
"P18084",0,3,"Tumor_only_3v0"
"P18564",3,0,"Normal_only_3v0"
"P19440;A6NGU5;P36268;Q14390;B5MD39",0,3,"Tumor_only_3v0"
"P21291",0,3,"Tumor_only_3v0"
"P22626",3,0,"Normal_only_3v0"
"P22735",3,0,"Normal_only_3v0"
"P24534",0,3,"Tumor_only_3v0"
"P24821",0,3,"Tumor_only_3v0"
"P25815",3,0,"Normal_only_3v0"
"P27635;Q96L21",3,0,"Normal_only_3v0"
"P29034",3,0,"Normal_only_3v0"
"P29373;P29762",3,0,"Normal_only_3v0"
"P31151;Q86SG5",3,0,"Normal_only_3v0"
"P31944",3,0,"Normal_only_3v0"
"P32926",3,0,"Normal_only_3v0"
"P35321",3,0,"Normal_only_3v0"
"P35580",3,0,"Normal_only_3v0"
"P35625",0,3,"Tumor_only_3v0"
"P39060",0,3,"Tumor_only_3v0"
"P43121",0,3,"Tumor_only_3v0"
"P43353;P48448",3,0,"Normal_only_3v0"
"P47895",3,0,"Normal_only_3v0"
"P48594",3,0,"Normal_only_3v0"
"P49721",3,0,"Normal_only_3v0"
"P50453",0,3,"Tumor_only_3v0"
"P51858",3,0,"Normal_only_3v0"
"P52566",3,0,"Normal_only_3v0"
"P54920",0,3,"Tumor_only_3v0"
"P58335",0,3,"Tumor_only_3v0"
"P58546",3,0,"Normal_only_3v0"
"P61006",0,3,"Tumor_only_3v0"
"P62837;P61077",0,3,"Tumor_only_3v0"
"P61224;A6NIZ1",0,3,"Tumor_only_3v0"
"P62851",3,0,"Normal_only_3v0"
"P62854;Q5JNZ5",0,3,"Tumor_only_3v0"
"P78324",3,0,"Normal_only_3v0"
"P84090",3,0,"Normal_only_3v0"
"Q02790",3,0,"Normal_only_3v0"
"Q13421",3,0,"Normal_only_3v0"
"Q13637",0,3,"Tumor_only_3v0"
"Q14116",3,0,"Normal_only_3v0"
"Q14CN2",3,0,"Normal_only_3v0"
"Q15417",0,3,"Tumor_only_3v0"
"Q15836;P23763",0,3,"Tumor_only_3v0"
"Q16270",0,3,"Tumor_only_3v0"
"Q16555;Q14194",0,3,"Tumor_only_3v0"
"Q16651",3,0,"Normal_only_3v0"
"Q16658",3,0,"Normal_only_3v0"
"Q53FA7",3,0,"Normal_only_3v0"
"Q5ZPR3",0,3,"Tumor_only_3v0"
"Q6YHK3",3,0,"Normal_only_3v0"
"Q6ZN28",3,0,"Normal_only_3v0"
"Q71RC9",3,0,"Normal_only_3v0"
"Q7LBR1",3,0,"Normal_only_3v0"
"Q7Z404",3,0,"Normal_only_3v0"
"Q8N271",3,0,"Normal_only_3v0"
"Q8NI35",3,0,"Normal_only_3v0"
"Q92626",0,3,"Tumor_only_3v0"
"Q92817",3,0,"Normal_only_3v0"
"Q96AP7",0,3,"Tumor_only_3v0"
"Q96S97",0,3,"Tumor_only_3v0"
"Q99828",3,0,"Normal_only_3v0"
"Q9BRA2",3,0,"Normal_only_3v0"
"Q9BW04",3,0,"Normal_only_3v0"
"Q9BY43",3,0,"Normal_only_3v0"
"Q9H190",3,0,"Normal_only_3v0"
"Q9H299",3,0,"Normal_only_3v0"
"Q9H2G2",3,0,"Normal_only_3v0"
"Q9H4G0",3,0,"Normal_only_3v0"
"Q9HCY8",3,0,"Normal_only_3v0"
