"","Normal_count","Tumor_count","Pattern"
"A8MQ03",2,0,"Other"
"Q13765;E9PAV3",2,2,"Other"
"O00159",3,3,"Other"
"O00161",3,3,"Other"
"O00186",3,3,"Other"
"O00194",3,3,"Other"
"O00231",3,3,"Other"
"O00232",2,3,"Other"
"O00299",3,3,"Other"
"O00303",2,3,"Other"
"O00410",3,3,"Other"
"O00468",3,3,"Other"
"O00560",3,3,"Other"
"O00571;O15523",3,3,"Other"
"O00622",3,2,"Other"
"O14493;O95484;P56747;O15551",3,3,"Other"
"O14672",3,3,"Other"
"O14737",0,2,"Other"
"O14745",3,3,"Other"
"O14786",1,3,"Other"
"O14817",0,3,"Tumor_only_3v0"
"O14818;Q8TAA3",3,3,"Other"
"O14907",3,3,"Other"
"O14908",3,3,"Other"
"P19105;O14950;P24844",3,3,"Other"
"O15031",3,3,"Other"
"O15144",3,3,"Other"
"O15230",3,3,"Other"
"O15372",3,0,"Normal_only_3v0"
"O15427",3,3,"Other"
"O15511",3,3,"Other"
"O43399",3,3,"Other"
"O43491",0,3,"Tumor_only_3v0"
"O43583",0,2,"Other"
"O43598",3,3,"Other"
"O43633",3,3,"Other"
"O43653",3,0,"Normal_only_3v0"
"O43657",3,3,"Other"
"O43707;Q9H254",3,3,"Other"
"O43795",3,2,"Other"
"O43854",2,3,"Other"
"O60437",3,0,"Normal_only_3v0"
"O60488;O95573",0,3,"Tumor_only_3v0"
"O60610",3,3,"Other"
"O60664",3,3,"Other"
"O60716",3,3,"Other"
"Q5QNW6;Q16778;P06899;P23527;P33778;P57053;P58876;P62807;Q93079;Q99877;Q99879;O60814;Q99880;Q96A08;Q8N257;A0A2R8Y619;Q6DRA6;Q6DN03",3,3,"Other"
"O60888",2,3,"Other"
"O75083",3,3,"Other"
"O75131;Q8IYJ1;Q96A23;O95741;Q9UBL6",3,3,"Other"
"O75348;O95670",3,0,"Normal_only_3v0"
"O75351;Q6PIW4",3,3,"Other"
"O75367",0,2,"Other"
"O75368",3,0,"Normal_only_3v0"
"O75369",3,3,"Other"
"O75436",3,3,"Other"
"O75695",2,3,"Other"
"O75874",3,2,"Other"
"O75955",1,2,"Other"
"O94832;B0I1T2",3,0,"Normal_only_3v0"
"O95274",3,0,"Normal_only_3v0"
"O95336",3,3,"Other"
"O95466",0,3,"Tumor_only_3v0"
"O95747",3,3,"Other"
"O95832",3,0,"Normal_only_3v0"
"O95861",3,2,"Other"
"O95865",3,3,"Other"
"P00338;Q6ZMR3;P07864",3,3,"Other"
"P00491",3,1,"Other"
"P00492",0,2,"Other"
"P00533",2,3,"Other"
"P00558;P07205",3,3,"Other"
"P00749",3,3,"Other"
"P00750",0,3,"Tumor_only_3v0"
"P00918",3,0,"Normal_only_3v0"
"P00966",3,0,"Normal_only_3v0"
"P01024",3,3,"Other"
"P01033",0,3,"Tumor_only_3v0"
"P01111;P01116;P01112",2,3,"Other"
"P01889",3,3,"Other"
"P01903;P01906",0,3,"Tumor_only_3v0"
"P02545;P20700;Q03252",3,3,"Other"
"P02751",3,3,"Other"
"P02794",3,3,"Other"
"P02795;P13640;P80294;P04731",3,3,"Other"
"P03956",0,3,"Tumor_only_3v0"
"P03973",3,1,"Other"
"P04075",3,3,"Other"
"P04080",3,2,"Other"
"P04083",3,3,"Other"
"P04179",3,0,"Normal_only_3v0"
"P04406;O14556",3,3,"Other"
"P04439;P01893",3,3,"Other"
"P04632;Q96L46",3,3,"Other"
"P04792",3,3,"Other"
"P04899",3,3,"Other"
"P05023;P13637;P50993;Q13733;P20648;P54707",3,3,"Other"
"P05026",3,3,"Other"
"P05106",0,3,"Tumor_only_3v0"
"P05109",3,0,"Normal_only_3v0"
"P05114",3,0,"Normal_only_3v0"
"P05120",3,0,"Normal_only_3v0"
"P05121",0,3,"Tumor_only_3v0"
"P05198",2,3,"Other"
"P05362",3,3,"Other"
"P05386",2,0,"Other"
"P05387",3,3,"Other"
"P05388;Q8NHW5",2,3,"Other"
"P05556",3,3,"Other"
"P05814",3,3,"Other"
"P06396;CON__Q3SX14",3,3,"Other"
"P06454",3,3,"Other"
"P06702",3,0,"Normal_only_3v0"
"P06703",3,3,"Other"
"P06733;P13929",3,3,"Other"
"P06744;CON__Q3ZBD7;Q8N196",3,3,"Other"
"P06748",0,3,"Tumor_only_3v0"
"P06756",3,3,"Other"
"P07195",3,3,"Other"
"P07203",3,0,"Normal_only_3v0"
"P07237",2,2,"Other"
"P07339",2,3,"Other"
"P07355;A6NMY6",3,3,"Other"
"P07384",3,3,"Other"
"P07437",3,3,"Other"
"P07737;CON__P02584",3,3,"Other"
"P07741",3,3,"Other"
"P07900;Q14568;Q58FF6;Q58FG0",3,3,"Other"
"P07910;P0DMR1;O60812;B7ZW38;B2RXH8",3,3,"Other"
"P07942",3,3,"Other"
"P07947;P12931;P06241;P08631",3,3,"Other"
"P07948",3,1,"Other"
"P07996",1,3,"Other"
"P08133",2,3,"Other"
"P08134;P62745",3,3,"Other"
"P08174",3,3,"Other"
"P08195",3,3,"Other"
"P08238;Q58FF7",3,3,"Other"
"P08473",3,0,"Normal_only_3v0"
"P08571",3,1,"Other"
"P08582",2,3,"Other"
"P08648",3,3,"Other"
"P08670;P41219;P17661;P14136;Q16352;P07196;P07197;P12036",3,3,"Other"
"P08754",3,3,"Other"
"P08758",3,3,"Other"
"P08865;A0A8I5KQE6",3,3,"Other"
"P09211",3,3,"Other"
"P09382",2,3,"Other"
"P09496",0,3,"Tumor_only_3v0"
"P09525",3,3,"Other"
"P09543",3,3,"Other"
"P09758",3,3,"Other"
"P09960",3,3,"Other"
"P09972",3,2,"Other"
"Q71UI9;P0C0S5",1,3,"Other"
"P62987;P62979;P0CG47;P0CG48",3,3,"Other"
"P0DMV9;P0DMV8",3,3,"Other"
"P0DP25;P0DP24;P0DP23;P02585",3,3,"Other"
"P10301",3,3,"Other"
"P10599",3,3,"Other"
"P10909",3,0,"Normal_only_3v0"
"P11021",3,3,"Other"
"P11047",3,3,"Other"
"P11142",3,3,"Other"
"P11166",0,3,"Tumor_only_3v0"
"P11216",3,3,"Other"
"P11233",3,3,"Other"
"P11279",0,3,"Tumor_only_3v0"
"P11940;Q9H361;Q96DU9;Q4VXU2;Q13310",3,3,"Other"
"P12081",2,0,"Other"
"P12429",3,3,"Other"
"P12532;P17540",3,2,"Other"
"P12814;P35609;Q08043",3,3,"Other"
"P12955",3,3,"Other"
"P13489",3,3,"Other"
"P13639;Q15029",3,3,"Other"
"P13688",3,0,"Normal_only_3v0"
"P13726",3,3,"Other"
"P13797;P13796",3,3,"Other"
"P13928",2,0,"Other"
"P13987",3,3,"Other"
"P14174",3,3,"Other"
"P14314",1,2,"Other"
"P14618;P30613",3,3,"Other"
"P14625",3,3,"Other"
