"UNIPROT","Symbol","logFC","adj.P.Val","degree","betweenness","CDS","rank_base","rank_sd","rank_min","rank_max","robustness_label","Symbol_biomat","Protein_Description","GO_BP","GO_CC","GO_MF","Theme_Vesicle_Trafficking","Theme_Motility_Signaling","Theme_Cell_Adhesion","Theme_Immune_Evasion","Num_Themes_Match","Localization","PubMed_hits"
"O00159","MYO1C",-0.0673810971478233,0.763934098263432,12,141.297437133652,0.156850580482871,57,0.99,56,59,"robust_candidate","MYO1C","myosin IC [Source:HGNC Symbol;Acc:HGNC:7597]","positive regulation of cell migration; actin filament organization; endocytosis; actin filament-based movement; vascular endothelial growth factor signaling pathway; protein targeting to membrane; regulation of bicellular tight junction assembly; chromatin remodeling; positive regulation of transcription by RNA polymerase I; positive regulation of transcription by RNA polymerase II; vesicle transport along actin filament; cellular response to type II interferon; positive regulation of protein targeting to membrane; positive regulation of cellular response to insulin stimulus","myosin complex; nucleus; cytoplasm; plasma membrane; membrane; cell projection; nuclear body; cytoplasmic vesicle; nucleoplasm; membrane raft; nucleolus; cell cortex; microvillus; plasma membrane bounded cell projection; actin filament; stereocilium membrane; cytosol; actin cytoskeleton; filamentous actin; unconventional myosin complex; brush border; cytoplasmic vesicle membrane; phagocytic vesicle","ATP binding; protein binding; cytoskeletal motor activity; signaling receptor binding; nucleotide binding; actin binding; calmodulin binding; small GTPase binding; actin filament binding; microfilament motor activity",TRUE,TRUE,TRUE,TRUE,4,"membrane",1
"O00468","AGRN",2.97574090601907,0.000154600782520307,10,0.333333333333333,0.499976901800435,13,0.59,13,15,"robust_candidate","AGRN","agrin [Source:HGNC Symbol;Acc:HGNC:329]","receptor clustering; nervous system development; signal transduction; cell differentiation; positive regulation of transcription by RNA polymerase II; synapse organization; membrane organization; synaptic signaling; cytoskeleton organization; positive regulation of GTPase activity; G protein-coupled acetylcholine receptor signaling pathway; clustering of voltage-gated sodium channels; neuromuscular junction development; positive regulation of filopodium assembly","extracellular region; plasma membrane; membrane; synapse; basement membrane; extracellular matrix; lysosomal lumen; Golgi lumen","protein binding; calcium ion binding; laminin binding; metal ion binding; structural constituent of cytoskeleton; dystroglycan binding; extracellular matrix structural constituent; sialic acid binding; chondroitin sulfate binding; heparan sulfate proteoglycan binding",FALSE,TRUE,TRUE,FALSE,2,"extracellular",1
"O00571","DDX3X",0.415603403972018,0.548724292840006,4,0,0.0815262155741373,67,0.44,67,68,"robust_candidate","DDX3X","DEAD-box helicase 3 X-linked [Source:HGNC Symbol;Acc:HGNC:2745]","apoptotic process; Wnt signaling pathway; negative regulation of apoptotic process; regulation of translation; negative regulation of translation; positive regulation of apoptotic process; intracellular signal transduction; immune system process; innate immune response; stress granule assembly; positive regulation of translational initiation; negative regulation of protein-containing complex assembly; positive regulation of transcription by RNA polymerase II; translational initiation; chromosome segregation; negative regulation of cell growth; negative regulation of intrinsic apoptotic signaling pathway; positive regulation of NLRP3 inflammasome complex assembly; response to virus; intrinsic apoptotic signaling pathway; negative regulation of non-canonical NF-kappaB signal transduction; negative regulation of extrinsic apoptotic signaling pathway via death domain receptors; cell differentiation; cellular response to virus; positive regulation of translation; positive regulation of canonical Wnt signaling pathway; positive regulation of protein K63-linked ubiquitination; positive regulation of G1/S transition of mitotic cell cycle; positive regulation of gene expression; cellular response to osmotic stress; cytoplasmic pattern recognition receptor signaling pathway; positive regulation of non-canonical NF-kappaB signal transduction; positive regulation of cell growth; gamete generation; negative regulation of gene expression; positive regulation of toll-like receptor 7 signaling pathway; positive regulation of toll-like receptor 8 signaling pathway; positive regulation of viral genome replication; lipid homeostasis; cellular response to arsenic-containing substance; positive regulation of chemokine (C-C motif) ligand 5 production; protein localization to cytoplasmic stress granule","nucleus; cytoplasm; plasma membrane; membrane; cell projection; cytosol; cytoskeleton; lamellipodium; centrosome; extracellular region; mitochondrion; eukaryotic translation initiation factor 3 complex; cytosolic small ribosomal subunit; cell leading edge; canonical inflammasome complex; NLRP3 inflammasome complex; secretory granule lumen; ficolin-1-rich granule lumen; P granule","ATP binding; nucleic acid binding; RNA helicase activity; RNA binding; hydrolase activity; nucleotide binding; DNA binding; protein binding; helicase activity; mRNA binding; ATP hydrolysis activity; signaling adaptor activity; protein serine/threonine kinase activator activity; DNA helicase activity; poly(A) binding; cadherin binding; translation initiation factor binding; RNA stem-loop binding; mRNA 5'-UTR binding; transcription factor binding; GTPase activity; eukaryotic initiation factor 4E binding; ribonucleoside triphosphate phosphatase activity; RNA strand annealing activity; gamma-tubulin binding; ribosomal small subunit binding; CTPase activity",FALSE,FALSE,FALSE,FALSE,0,"extracellular",5
"O14907","TAX1BP3",-0.914968319307427,0.0121154556552722,2,0,0.152600655874197,59,1.8,54,59,"weight_sensitive_candidate","TAX1BP3","Tax1 binding protein 3 [Source:HGNC Symbol;Acc:HGNC:30684]","Wnt signaling pathway; Rho protein signal transduction; negative regulation of Wnt signaling pathway; negative regulation of cell population proliferation; negative regulation of protein localization to cell surface","nucleus; cytoplasm; plasma membrane; membrane; fibrillar center; actin cytoskeleton; cytosol","protein binding; beta-catenin binding",FALSE,TRUE,FALSE,FALSE,1,"membrane",0
"O60610","DIAPH1",-0.0515909629482678,0.913943393471097,8,0,0.080376298204843,68,0.67,67,70,"robust_candidate","DIAPH1","diaphanous related formin 1 [Source:HGNC Symbol;Acc:HGNC:2876]","actin cytoskeleton organization; cellular component organization; regulation of cell shape; sensory perception of sound; cytoskeleton organization; regulation of cytoskeleton organization; regulation of microtubule-based process; actin filament polymerization; protein localization to microtubule; regulation of release of sequestered calcium ion into cytosol; cellular response to histamine","nucleus; cytoplasm; plasma membrane; membrane; cell projection; cytoskeleton; spindle; centrosome; cytosol; actin filament; secretory granule membrane; mitotic spindle","small GTPase binding; actin binding; RNA binding; protein binding; transmembrane transporter binding; signaling receptor binding",FALSE,TRUE,FALSE,FALSE,1,"membrane",2
"P01111","NRAS",1.48801438346512,0.372305707489942,10,31.3794082345484,0.27175249180383,38,0.94,37,40,"robust_candidate","NRAS","NRAS proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:7989]","signal transduction; MAPK cascade; Ras protein signal transduction; positive regulation of endothelial cell proliferation","membrane; plasma membrane; Golgi apparatus; endoplasmic reticulum membrane; cytosol; tertiary granule membrane","GTPase activity; GTP binding; hydrolase activity; nucleotide binding; protein binding; G protein activity; protein-containing complex binding; GDP binding",FALSE,FALSE,FALSE,FALSE,0,"membrane",21
"P02751","FN1",5.71190413653133,3.23875287666273e-05,36,301.48716075686,0.907275336207019,1,0,1,1,"robust_candidate","FN1","fibronectin 1 [Source:HGNC Symbol;Acc:HGNC:3778]","cell adhesion; angiogenesis; regulation of cell shape; positive regulation of gene expression; positive regulation of cell population proliferation; acute-phase response; response to wounding; nervous system development; integrin activation; heart development; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction; integrin-mediated signaling pathway; endothelial cell migration; positive regulation of fibroblast proliferation; regulation of protein phosphorylation; substrate adhesion-dependent cell spreading; cell-matrix adhesion; biological process involved in interaction with symbiont; cell-substrate junction assembly; endodermal cell differentiation; negative regulation of transforming growth factor beta production; blood coagulation, fibrin clot formation; negative regulation of monocyte activation; neural crest cell migration involved in autonomic nervous system development; positive regulation of substrate-dependent cell migration, cell attachment to substrate; autophagy; calcium-independent cell-matrix adhesion; negative regulation of autophagy; response to muscle activity; wound healing; positive regulation of axon extension","extracellular region; extracellular space; extracellular matrix; endoplasmic reticulum-Golgi intermediate compartment; plasma membrane; blood microparticle; endoplasmic reticulum lumen; platelet alpha granule lumen; fibrinogen complex; basement membrane","protein binding; signaling receptor binding; integrin binding; heparin binding; identical protein binding; protease binding; collagen binding; extracellular matrix structural constituent; proteoglycan binding; peptidase activator activity; receptor ligand activity",FALSE,TRUE,TRUE,FALSE,2,"extracellular",48
"P05556","ITGB1",3.05007125354915,6.47675261860327e-05,36,253.391628922579,0.653018365402943,6,0,6,6,"robust_candidate","ITGB1","integrin subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:6153]","regulation of biological quality; positive regulation of cell migration; cell adhesion; angiogenesis; regulation of developmental process; integrin-mediated signaling pathway; cell adhesion mediated by integrin; symbiont entry into host cell; receptor internalization; CD40 signaling pathway; leukocyte tethering or rolling; muscle organ development; myoblast fusion; cell-matrix adhesion; heterotypic cell-cell adhesion; mesodermal cell differentiation; positive regulation of vascular endothelial growth factor signaling pathway; cell-substrate adhesion; positive regulation of GTPase activity; cell migration; positive regulation of protein localization to plasma membrane; negative regulation of vasoconstriction; positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction; cell-cell adhesion; positive regulation of angiogenesis; extracellular matrix organization; maintenance of blood-brain barrier; positive regulation of wound healing; cellular defense response; homophilic cell adhesion via plasma membrane adhesion molecules; phagocytosis; regulation of spontaneous synaptic transmission; wound healing, spreading of epidermal cells; cellular response to low-density lipoprotein particle stimulus; leukocyte cell-cell adhesion; calcium-independent cell-matrix adhesion; positive regulation of apoptotic process; positive regulation of glutamate uptake involved in transmission of nerve impulse; reactive gliosis; establishment of mitotic spindle orientation; cell projection organization; lamellipodium assembly; B cell differentiation; cell-cell adhesion mediated by integrin; myoblast differentiation; positive regulation of fibroblast growth factor receptor signaling pathway; negative regulation of anoikis; neuroblast proliferation; cell population proliferation; central nervous system neuron differentiation; G1/S transition of mitotic cell cycle; in utero embryonic development; cell migration involved in sprouting angiogenesis; positive regulation of neuroblast proliferation; autophagy; germ cell migration; negative regulation of autophagy; formation of radial glial scaffolds; neuron projection development; negative regulation of Rho protein signal transduction; sarcomere organization; negative regulation of neuron differentiation; myoblast fate specification; axon extension; dendrite morphogenesis; regulation of cell cycle; cardiac muscle cell differentiation; cardiac muscle cell myoblast differentiation; cardiac cell fate specification; response to muscle activity; modulation of chemical synaptic transmission; basement membrane organization; regulation of synapse pruning","cytoplasm; plasma membrane; membrane; cell projection; synapse; endosome; focal adhesion; anchoring junction; lamellipodium; filopodium; recycling endosome; ruffle; integrin alpha9-beta1 complex; endosome membrane; receptor complex; membrane raft; integrin alpha10-beta1 complex; perinuclear region of cytoplasm; integrin complex; neuromuscular junction; glial cell projection; integrin alpha1-beta1 complex; integrin alpha2-beta1 complex; integrin alpha3-beta1 complex; integrin alpha4-beta1 complex; integrin alpha5-beta1 complex; integrin alpha6-beta1 complex; integrin alpha8-beta1 complex; integrin alpha11-beta1 complex; integrin alphav-beta1 complex; cytoplasmic vesicle; glutamatergic synapse; intercalated disc; myelin sheath abaxonal region; dendritic spine; synaptic membrane; integrin alpha7-beta1 complex","protein binding; calcium ion binding; metal ion binding; protein heterodimerization activity; virus receptor activity; protein-containing complex binding; protease binding; cell adhesion molecule binding; protein kinase binding; fibronectin binding; coreceptor activity; cadherin binding; integrin binding; actin binding; C-X3-C chemokine binding; laminin binding; protein tyrosine kinase binding; signaling receptor activity",TRUE,TRUE,TRUE,FALSE,3,"membrane",23
"P06702","S100A9",-4.8102987477412,0.000157989556201923,2,0,0.575030667580914,9,0.6,8,10,"robust_candidate","S100A9","S100 calcium binding protein A9 [Source:HGNC Symbol;Acc:HGNC:10499]","apoptotic process; autophagy; immune system process; innate immune response; defense response to bacterium; chemotaxis; cellular oxidant detoxification; inflammatory response; neutrophil chemotaxis; regulation of cytoskeleton organization; positive regulation of inflammatory response; positive regulation of intrinsic apoptotic signaling pathway; antimicrobial humoral immune response mediated by antimicrobial peptide; cell-cell signaling; positive regulation of cell growth; defense response to fungus; endothelial cell migration; positive regulation of neuron projection development; peptidyl-cysteine S-trans-nitrosylation; leukocyte migration involved in inflammatory response; regulation of toll-like receptor signaling pathway; astrocyte development; autocrine signaling; regulation of respiratory burst involved in inflammatory response","nucleus; cytoplasm; extracellular region; extracellular space; plasma membrane; membrane; cytosol; cytoskeleton; extracellular matrix; secretory granule lumen; calprotectin complex; S100A9 complex","calcium ion binding; metal ion binding; protein binding; zinc ion binding; antioxidant activity; microtubule binding; calcium-dependent protein binding; arachidonate binding; RAGE receptor binding; Toll-like receptor 4 binding",FALSE,TRUE,FALSE,FALSE,1,"extracellular",37
"P06748","NPM1",3.31134523684286,0.00863742369297787,16,149.658097839962,0.54121241717814,12,0.37,11,12,"robust_candidate","NPM1","nucleophosmin 1 [Source:HGNC Symbol;Acc:HGNC:7910]","negative regulation of cell population proliferation; positive regulation of macromolecule metabolic process; signal transduction; negative regulation of apoptotic process; DNA repair; regulation of cell population proliferation; intracellular protein transport; positive regulation of DNA-templated transcription; positive regulation of transcription by RNA polymerase II; protein localization; positive regulation of nucleobase-containing compound metabolic process; positive regulation of cell population proliferation; chromatin remodeling; protein import into nucleus; positive regulation of translation; nucleocytoplasmic transport; macrophage differentiation; centrosome cycle; nucleosome assembly; positive regulation of NF-kappaB transcription factor activity; ribosomal large subunit export from nucleus; ribosomal small subunit export from nucleus; cellular senescence; positive regulation of cell cycle G2/M phase transition; ribosome assembly; cellular response to UV; regulation of centrosome duplication; negative regulation of centrosome duplication; negative regulation of protein kinase activity by regulation of protein phosphorylation; regulation of centriole replication; regulation of endoribonuclease activity; regulation of eIF2 alpha phosphorylation by dsRNA; regulation of mRNA stability involved in cellular response to UV; regulation of cell growth; cell volume homeostasis; positive regulation of biosynthetic process; post-transcriptional regulation of gene expression; negative regulation of gene expression; positive regulation of protein ubiquitination; regulation of protein stability; regulation of DNA damage response, signal transduction by p53 class mediator; negative regulation of mRNA splicing, via spliceosome; protein stabilization; regulation of cell cycle; positive regulation of protein localization to nucleolus","nucleus; cytoplasm; membrane; nucleoplasm; cytoskeleton; focal adhesion; nucleolus; centrosome; cytosol; protein-containing complex; ribonucleoprotein complex; protein-DNA complex; granular component; spindle pole centrosome; nuclear speck; large ribosomal subunit; small ribosomal subunit","nucleic acid binding; RNA binding; protein binding; identical protein binding; protein homodimerization activity; histone binding; transcription coactivator activity; protein kinase binding; protein kinase inhibitor activity; unfolded protein binding; chromatin binding; molecular adaptor activity; Tat protein binding; NF-kappaB binding; DNA-binding transcription factor binding; core promoter sequence-specific DNA binding; rRNA binding; ribosomal large subunit binding; ribosomal small subunit binding",FALSE,FALSE,TRUE,FALSE,1,"intracellular",7
