"","logFC","AveExpr","t","P.Value","adj.P.Val","B","X","UNIPROT"
"Q9HCY8",-7.88691544092096,24.8943728134473,-40.8257408502412,2.93128291826232e-08,2.28074236793306e-05,9.11995754561236,"Q9HCY8","Q9HCY8"
"Q14CN2",-5.20714213476586,23.3597926825557,-33.9954089290028,8.30102910383447e-08,2.28074236793306e-05,8.49698998458313,"Q14CN2","Q14CN2"
"Q01469",-5.60762096719301,25.0295425092095,-32.7487729625408,1.02636297494705e-07,2.28074236793306e-05,8.3564005263549,"Q01469","Q01469"
"Q15417",4.88621505451975,22.9103127573159,31.5676338587372,1.26442376704747e-07,2.28074236793306e-05,8.21380768510558,"Q15417","Q15417"
"O15372",-5.51860380640787,23.9887020338419,-30.3789987773685,1.57221725895027e-07,2.28074236793306e-05,8.06026535026335,"O15372","O15372"
"P05109",-5.45016602724741,23.7798729322695,-30.3519320154316,1.58019101704369e-07,2.28074236793306e-05,8.0566447786629,"P05109","P05109"
"P00966",-4.07704808838113,23.3795640460841,-27.2461709823858,2.91480717273666e-07,3.23875287666273e-05,7.60032187033415,"P00966","P00966"
"P35321",-4.79306240137323,23.4577808695597,-27.0214911158958,3.05486437202756e-07,3.23875287666273e-05,7.56389036025654,"P35321","P35321"
"P15531",4.86078381330204,22.9682914167743,26.312492034472,3.55159555844464e-07,3.23875287666273e-05,7.44557874096421,"P15531","P15531"
"P02751",5.71190413653133,24.9654073529803,25.4998230677849,4.24223758079502e-07,3.23875287666273e-05,7.30341916219249,"P02751","P02751"
"P01033",4.79976186677883,23.4333280829693,25.0330832084404,4.70998567572166e-07,3.23875287666273e-05,7.21843995367402,"P01033","P01033"
"P15941",-6.42874035013219,27.4091344615848,-24.6491018075836,5.14066553356807e-07,3.23875287666273e-05,7.14662248888043,"P15941","P15941"
"Q9BRA2",-4.88733676886363,23.6214810891123,-24.5069133748036,5.31176215605573e-07,3.23875287666273e-05,7.11958002739678,"Q9BRA2","Q9BRA2"
"Q9BS40",-4.9454307357168,23.2744818976788,-24.445410670866,5.38783436477699e-07,3.23875287666273e-05,7.10780668291848,"Q9BS40","Q9BS40"
"P39060",4.86592925711416,23.7750792692447,24.2715873650726,5.60984909352667e-07,3.23875287666273e-05,7.07428029496585,"P39060","P39060"
"P52566",-3.59141585129577,22.8986821091105,-23.2687363491787,7.12203021463542e-07,3.85479885367142e-05,6.87333765930488,"P52566","P52566"
"Q9H190",-4.50080130381742,24.3261736792743,-22.7687031107688,8.05261715900208e-07,4.10209791746812e-05,6.7681280305357,"Q9H190","Q9H190"
"P21589",8.27713307469775,24.5536731284784,22.0161956181275,9.7365426275918e-07,4.56355346937978e-05,6.60308732905181,"P21589","P21589"
"P29034",-6.8791175352631,25.3093005059171,-21.8716652574532,1.01055453681292e-06,4.56355346937978e-05,6.57042794884838,"P29034","P29034"
"P17301",3.94950109445937,25.5639168424262,21.709461062182,1.05393844558425e-06,4.56355346937978e-05,6.53339454116926,"P17301","P17301"
"P18564",-3.36150308792747,22.7952110419837,-21.4445599895463,1.12958265277689e-06,4.65818370145136e-05,6.47203451025335,"P18564","P18564"
"P26006",3.22575578432546,26.2735813142739,21.178757138305,1.21196838483197e-06,4.77074827847492e-05,6.4093461250096,"P26006","P26006"
"P16104;Q8IUE6;Q96QV6",3.90977239816424,26.3629319720102,20.9118614135787,1.30187795271677e-06,4.90185350892489e-05,6.34524437070912,"P16104;Q8IUE6;Q96QV6","P16104"
"P32926",-3.71738929704347,22.9314796698516,-20.607955213753,1.41395199801341e-06,5.10201012616505e-05,6.27080745383373,"P32926","P32926"
"O75874",-3.69447734090467,23.4918293554376,-20.0449718494826,1.65294953143902e-06,5.54965743588591e-05,6.12870102743376,"O75874","O75874"
