"UNIPROT","Symbol","degree","betweenness","X.1","logFC","AveExpr","t","P.Value","adj.P.Val","B","X"
"O00159","MYO1C",12,141.297437133652,"O00159",-0.0673810971478233,26.0637281190395,-0.437991119918016,0.677484281138933,0.763934098263432,-7.25480178083296,"O00159"
"O00468","AGRN",10,0.333333333333333,"O00468",2.97574090601907,24.7918623832282,14.1986414066321,1.1425461987644e-05,0.000154600782520307,4.24543894991323,"O00468"
"O00571","DDX3X",4,0,"O00571;O15523",0.415603403972018,21.8554678880039,0.846176789878207,0.431502590558942,0.548724292840006,-6.97051437234394,"O00571;O15523"
"O14907","TAX1BP3",2,0,"O14907",-0.914968319307427,23.873182722255,-4.66945662905188,0.00391196327701865,0.0121154556552722,-2.14082891810751,"O14907"
"O15144","ARPC2",6,0.95,"O15144",-1.35812689941895,24.8408227729201,-8.18469729581526,0.000231660971283831,0.00126175095051445,1.01620924079047,"O15144"
"O15511","ARPC5",4,0,"O15511",-0.549641408268869,24.907841498832,-1.43398350254174,0.204025573905319,0.315129074224031,-6.33804964956638,"O15511"
"O60610","DIAPH1",8,0,"O60610",-0.0515909629482678,21.772334349065,-0.171555358901744,0.869708468913333,0.913943393471097,-7.34805180485738,"O60610"
"O95466","FMNL1",4,0,"O95466",3.78945162134343,22.4870417445577,9.08534110970189,0.000132511363146173,0.000808132679468916,1.63219321481199,"O95466"
"P01111","NRAS",10,31.3794082345484,"P01111;P01116;P01112",1.48801438346512,24.6260602434218,1.26928954321935,0.253649385010468,0.372305707489942,-6.53507292007222,"P01111;P01116;P01112"
"P02751","FN1",36,301.48716075686,"P02751",5.71190413653133,24.9654073529803,25.4998230677849,4.24223758079502e-07,3.23875287666273e-05,7.30341916219249,"P02751"
"P05556","ITGB1",36,253.391628922579,"P05556",3.05007125354915,27.7628191980702,18.7923701584579,2.377296173748e-06,6.47675261860327e-05,5.79153683095239,"P05556"
"P06702","S100A9",2,0,"P06702",-4.8102987477412,23.5409498995304,-13.9536126435821,1.25880824225551e-05,0.000157989556201923,4.14597489003163,"P06702"
"P06748","NPM1",16,149.658097839962,"P06748",3.31134523684286,22.7762003974984,5.10731088394645,0.0025576891178416,0.00863742369297787,-1.66560967804126,"P06748"
"P06756","ITGAV",32,210.265510596461,"P06756",2.30490813666285,24.1533621636693,12.6458057407729,2.17354501955019e-05,0.000216355170911548,3.57825263176073,"P06756"
"P07737","PFN1",14,49.4394192256342,"P07737;CON__P02584",1.07587436041013,28.0716265072753,3.62207715651234,0.0120767513435392,0.0312193034731491,-3.3929301885429,"P07737;CON__P02584"
"P08134","RHOC",14,71.0295454545454,"P08134;P62745",1.27506274532785,26.046362047357,6.5487652665178,0.000742603955300052,0.00334945325671794,-0.2808247021976,"P08134;P62745"
"P0DP25","CALM3",16,63.0993769302593,"P0DP25;P0DP24;P0DP23;P02585",-0.34421792054308,30.0039438435179,-1.70743993067641,0.14115685260832,0.235988097217771,-5.98809098284922,"P0DP25;P0DP24;P0DP23;P02585"
"P11047","LAMC1",18,1.78253968253968,"P11047",2.1503320550259,23.9982720237531,14.1536368767174,1.16292474449809e-05,0.000154937358266977,4.22732353510268,"P11047"
"P11940","PABPC1",12,279.5,"P11940;Q9H361;Q96DU9;Q4VXU2;Q13310",0.517935421774801,21.8490710206601,1.99350582029922,0.0957199051410886,0.174880670574225,-5.60216117800368,"P11940;Q9H361;Q96DU9;Q4VXU2;Q13310"
"P14923","JUP",2,0,"P14923",-2.21089909884426,24.8817806363505,-7.91093287096751,0.000277460687835203,0.0014388081177562,0.816280332158322,"P14923"
"P16070","CD44",32,208.434558215509,"P16070",1.70946175156405,26.1158718936475,9.3854140162646,0.000111207286595131,0.000708128751407232,1.82435346579676,"P16070"
"P16104","H2AX",54,188.097285067873,"P16104;Q8IUE6;Q96QV6",3.90977239816424,26.3629319720102,20.9118614135787,1.30187795271677e-06,4.90185350892489e-05,6.34524437070912,"P16104;Q8IUE6;Q96QV6"
"P16144","ITGB4",22,130.628560563923,"P16144",1.98351511288602,25.32568533429,11.9053758007311,3.03336590743836e-05,0.000273634882900169,3.22642167867659,"P16144"
"P16671","CD36",14,95,"P16671",-0.261180305008047,21.0442759606887,-0.727838632941009,0.495480126348082,0.613529932435999,-7.06877460776218,"P16671"
"P17301","ITGA2",22,35.6218145321771,"P17301",3.94950109445937,25.5639168424262,21.709461062182,1.05393844558425e-06,4.56355346937978e-05,6.53339454116926,"P17301"
"P18827","SDC1",14,4.87380952380952,"P18827",-2.09656178108388,22.5528748962766,-1.31088168071899,0.240180145645338,0.35738145382966,-6.48650121415297,"P18827"
"P21926","CD9",18,8.94920634920635,"P21926",-1.67772995643685,27.8496017772057,-3.28328954150086,0.018024304304952,0.0436006914192415,-3.83251207563138,"P21926"
"P23229","ITGA6",22,30.2864776468401,"P23229",1.56154925940134,25.4602644428324,10.5937428262466,5.75770501081372e-05,0.000422556994861413,2.5402174211385,"P23229"
"P23528","CFL1",14,55.5711245573395,"P23528",1.08753009426028,28.7843342370448,6.39013719286382,0.00084169303415557,0.00368134428070063,-0.420925350042239,"P23528"
"P23588","EIF4B",4,0,"P23588",0.574526441233903,19.7927716499264,1.03297705722743,0.34339551660053,0.466113663598838,-6.79288261382659,"P23588"
"P26006","ITGA3",20,29.9531443135068,"P26006",3.22575578432546,26.2735813142739,21.178757138305,1.21196838483197e-06,4.77074827847492e-05,6.4093461250096,"P26006"
"P26368","U2AF2",4,0,"P26368",-0.326217418369012,21.3197843137439,-0.711498042478747,0.504807412721773,0.618335529585652,-7.08139092987537,"P26368"
"P26599","PTBP1",8,2.5,"P26599;O95758",-0.766290933983903,24.3098605765606,-2.56591731302879,0.0445319851606033,0.0946828648384656,-4.80776292557424,"P26599;O95758"
"P28482","MAPK1",12,142.939253883371,"P28482",0.131577872102902,23.6637751403765,0.639732703707954,0.547154182003722,0.654468952507214,-7.13391975360456,"P28482"
"P30153","PPP2R1A",2,0,"P30153;P30154",0.691686750544797,25.9700711262262,3.41277285273618,0.0154339709369661,0.0383105738920348,-3.66263819288668,"P30153;P30154"
"P31431","SDC4",6,0,"P31431",3.50413506464376,23.6094148904596,6.1011886882183,0.00106421373662912,0.0042667087774112,-0.683490053797255,"P31431"
"P31948","STIP1",8,95,"P31948",0.536782178550087,23.9514019825163,2.29829498426827,0.0634681883968836,0.124351699438238,-5.18017918676531,"P31948"
"P35579","MYH9",14,199.494337144337,"P35579;P35749",0.437691410362646,26.1650658641369,2.60292713035781,0.0424289485690466,0.0911323355978355,-4.75641361330111,"P35579;P35749"
"P35613","BSG",4,0,"P35613",0.453520325806487,26.3235400586853,3.05262555426169,0.0239140643204082,0.0549877346132674,-4.14041160546573,"P35613"
"P43121","MCAM",4,1.40725108225108,"P43121",4.39409970059906,23.0690391959756,8.84868767052805,0.000152713463190342,0.000912067993950594,1.47621079470433,"P43121"
"P51149","RAB7A",6,0,"P51149",0.297997833210797,25.0115296711097,1.86854846043341,0.113418948246367,0.199740744985599,-5.77252215957078,"P51149"
"P52292","KPNA2",2,0,"P52292",1.49840356038263,21.9858054914274,3.7276327102888,0.0106991473379436,0.0283347449377956,-3.25929738530652,"P52292"
"P52565","ARHGDIA",4,0,"P52565",0.854389730062699,25.9955255700972,4.2821617595251,0.00582363146272607,0.0170958130397314,-2.58459612352201,"P52565"
"P54652","HSPA2",2,0,"P54652",-0.454695232590478,21.0260041496481,-1.81335274353883,0.122251822895926,0.210896570971856,-5.84697208453149,"P54652"
"P54725","RAD23A",2,0,"P54725",-0.00389867251994147,21.325724501049,-0.0110459097148964,0.991562825015712,0.992709140420354,-7.36516267471811,"P54725"
"P55268","LAMB2",16,0.333333333333333,"P55268",2.97025364331254,23.9040076998834,5.39330021843999,0.00196382934908106,0.00696998449304999,-1.36975377908151,"P55268"
"P60709","ACTB",104,2978.78738973523,"P60709;Q6S8J3;A5A3E0;P0CG38;Q9BYX7;P0CG39",0.553264694573404,30.9136314135528,3.17070499118763,0.0206707317564346,0.0491781695084405,-3.98198609123744,"P60709;Q6S8J3;A5A3E0;P0CG38;Q9BYX7;P0CG39"
"P61088","UBE2N",4,95,"P61088;Q5JXB2",1.00647390740892,25.6819186125714,1.95890467095076,0.10032071460389,0.181752591730059,-5.64955467958489,"P61088;Q5JXB2"
"P61586","RHOA",30,383.669891367871,"P61586",0.893185020661484,27.3481274955023,4.04148269283451,0.0075397966469595,0.0209950607597007,-2.87173830450143,"P61586"
"P61769","B2M",2,0,"P61769",2.26227011810693,26.207124214271,13.635363888748,1.43114170173227e-05,0.000165249161826686,4.01367197799939,"P61769"
"P62805","H4C1",58,2.95943100803577,"P62805",4.15574860143037,26.1081554976604,13.8052557618374,1.33593089416607e-05,0.000160682799214974,4.08474512732623,"P62805"
"P62805","H4C11",58,2.95943100803577,"P62805",4.15574860143037,26.1081554976604,13.8052557618374,1.33593089416607e-05,0.000160682799214974,4.08474512732623,"P62805"
"P62805","H4C12",58,2.95943100803577,"P62805",4.15574860143037,26.1081554976604,13.8052557618374,1.33593089416607e-05,0.000160682799214974,4.08474512732623,"P62805"
"P62805","H4C13",58,2.95943100803577,"P62805",4.15574860143037,26.1081554976604,13.8052557618374,1.33593089416607e-05,0.000160682799214974,4.08474512732623,"P62805"
"P62805","H4C14",58,2.95943100803577,"P62805",4.15574860143037,26.1081554976604,13.8052557618374,1.33593089416607e-05,0.000160682799214974,4.08474512732623,"P62805"
"P62805","H4C15",58,2.95943100803577,"P62805",4.15574860143037,26.1081554976604,13.8052557618374,1.33593089416607e-05,0.000160682799214974,4.08474512732623,"P62805"
"P62805","H4C2",58,2.95943100803577,"P62805",4.15574860143037,26.1081554976604,13.8052557618374,1.33593089416607e-05,0.000160682799214974,4.08474512732623,"P62805"
"P62805","H4C3",58,2.95943100803577,"P62805",4.15574860143037,26.1081554976604,13.8052557618374,1.33593089416607e-05,0.000160682799214974,4.08474512732623,"P62805"
"P62805","H4C4",58,2.95943100803577,"P62805",4.15574860143037,26.1081554976604,13.8052557618374,1.33593089416607e-05,0.000160682799214974,4.08474512732623,"P62805"
"P62805","H4C5",58,2.95943100803577,"P62805",4.15574860143037,26.1081554976604,13.8052557618374,1.33593089416607e-05,0.000160682799214974,4.08474512732623,"P62805"
"P62805","H4C6",62,174.390325026102,"P62805",4.15574860143037,26.1081554976604,13.8052557618374,1.33593089416607e-05,0.000160682799214974,4.08474512732623,"P62805"
