"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"R-HSA-157579","Telomere Maintenance",21,0.938060621088638,2.33326562636902,1e-10,3.18235294117647e-09,2.23529411764706e-09,64,"tags=81%, list=7%, signal=77%","3014/94239/8294/8359/8360/8361/8362/8363/8364/8365/8366/8367/8368/8370/121504/554313/8338"
"R-HSA-73886","Chromosome Maintenance",22,0.917450198528361,2.30269787574767,1e-10,3.18235294117647e-09,2.23529411764706e-09,64,"tags=77%, list=7%, signal=74%","3014/94239/8294/8359/8360/8361/8362/8363/8364/8365/8366/8367/8368/8370/121504/554313/8338"
"R-HSA-9821993","Replacement of protamines by nucleosomes in the male pronucleus",17,0.961077694630305,2.26982010378253,1e-10,3.18235294117647e-09,2.23529411764706e-09,46,"tags=88%, list=5%, signal=85%","3014/8294/8359/8360/8361/8362/8363/8364/8365/8366/8367/8368/8370/121504/554313"
"R-HSA-9670095","Inhibition of DNA recombination at telomere",19,0.943037484116847,2.26687605171283,1e-10,3.18235294117647e-09,2.23529411764706e-09,64,"tags=89%, list=7%, signal=85%","3014/94239/8294/8359/8360/8361/8362/8363/8364/8365/8366/8367/8368/8370/121504/554313/8338"
"R-HSA-5693571","Nonhomologous End-Joining (NHEJ)",17,0.952070988159935,2.24854856295962,1e-10,3.18235294117647e-09,2.23529411764706e-09,46,"tags=88%, list=5%, signal=85%","3014/8294/8359/8360/8361/8362/8363/8364/8365/8366/8367/8368/8370/121504/554313"
"R-HSA-110328","Recognition and association of DNA glycosylase with site containing an affected pyrimidine",17,0.946285714285714,2.23488522333686,1e-10,3.18235294117647e-09,2.23529411764706e-09,64,"tags=100%, list=7%, signal=95%","3014/94239/8294/8359/8360/8361/8362/8363/8364/8365/8366/8367/8368/8370/121504/554313/8338"
"R-HSA-110329","Cleavage of the damaged pyrimidine",17,0.946285714285714,2.23488522333686,1e-10,3.18235294117647e-09,2.23529411764706e-09,64,"tags=100%, list=7%, signal=95%","3014/94239/8294/8359/8360/8361/8362/8363/8364/8365/8366/8367/8368/8370/121504/554313/8338"
"R-HSA-110330","Recognition and association of DNA glycosylase with site containing an affected purine",17,0.946285714285714,2.23488522333686,1e-10,3.18235294117647e-09,2.23529411764706e-09,64,"tags=100%, list=7%, signal=95%","3014/94239/8294/8359/8360/8361/8362/8363/8364/8365/8366/8367/8368/8370/121504/554313/8338"
"R-HSA-110331","Cleavage of the damaged purine",17,0.946285714285714,2.23488522333686,1e-10,3.18235294117647e-09,2.23529411764706e-09,64,"tags=100%, list=7%, signal=95%","3014/94239/8294/8359/8360/8361/8362/8363/8364/8365/8366/8367/8368/8370/121504/554313/8338"
"R-HSA-171306","Packaging Of Telomere Ends",17,0.946285714285714,2.23488522333686,1e-10,3.18235294117647e-09,2.23529411764706e-09,64,"tags=100%, list=7%, signal=95%","3014/94239/8294/8359/8360/8361/8362/8363/8364/8365/8366/8367/8368/8370/121504/554313/8338"
